date,close,dividend,high,low,open,split,volume
2007-10-30,5687.35,,5783.65,5649.4,5725.7,,386497984.0
2007-10-31,5718.3,,5766.9,5681.2,5707.5,,318439008.0
2007-11-01,5677.3,,5823.0,5649.45,5792.2,,431751008.0
2007-11-02,5742.0,,5752.35,5540.05,5632.45,,280552000.0
2007-11-05,5670.3,,5770.25,5645.55,5742.3,,306615008.0
2007-11-06,5609.7,,5775.8,5582.75,5674.25,,376854016.0
2007-11-07,5603.75,,5685.2,5562.9,5647.85,,258039008.0
2007-11-08,5535.15,,5566.55,5479.15,5549.45,,248604992.0
2007-11-09,5502.2,,5611.6,5455.15,5564.65,,0.0
2007-11-12,5455.4,,5469.65,5319.55,5414.55,,249790000.0
2007-11-13,5538.9,,5594.05,5437.15,5469.0,,257562000.0
2007-11-14,5764.0,,5774.1,5626.0,5626.0,,276231008.0
2007-11-15,5753.55,,5798.8,5736.75,5778.6,,341800992.0
2007-11-16,5757.05,,5799.45,5678.05,5732.85,,296612000.0
2007-11-19,5790.0,,5837.05,5777.4,5797.75,,402932000.0
2007-11-20,5669.5,,5812.55,5642.35,5755.85,,409863008.0
2007-11-21,5442.2,,5667.25,5411.5,5663.2,,309116992.0
2007-11-22,5408.9,,5490.6,5278.5,5447.3,,306545984.0
2007-11-23,5492.5,,5524.15,5400.95,5468.2,,244204000.0
2007-11-26,5607.3,,5644.95,5551.25,5551.25,,232140000.0
2007-11-27,5585.65,,5614.5,5540.8,5614.5,,254980000.0
2007-11-28,5513.05,,5637.45,5493.8,5587.7,,248098000.0
2007-11-29,5520.9,,5617.4,5502.7,5568.65,,454720992.0
2007-11-30,5655.95,,5674.65,5520.25,5520.25,,337636992.0
2007-12-03,5763.1,,5771.85,5661.75,5661.75,,383932992.0
2007-12-04,5764.85,,5795.85,5744.5,5776.25,,299020000.0
2007-12-05,5845.9,,5853.4,5772.3,5783.75,,325036000.0
2007-12-06,5851.7,,5928.65,5818.2,5892.8,,360096992.0
2007-12-07,5870.0,,5931.85,5785.0,5891.65,,307039008.0
2007-12-10,5862.45,,5902.05,5826.05,5889.35,,297585984.0
2007-12-11,5981.8,,5993.45,5893.3,5897.85,,318456000.0
2007-12-12,6043.2,,6056.25,5900.2,5919.85,,273416000.0
2007-12-13,5962.4,,6069.0,5947.1,6063.2,,319068000.0
2007-12-14,5957.65,,5986.7,5926.85,5962.95,,247511008.0
2007-12-17,5688.05,,5944.0,5649.1,5918.35,,318811008.0
2007-12-18,5657.65,,5738.5,5614.85,5738.5,,319300992.0
2007-12-19,5664.25,,5756.2,5592.15,5700.15,,232182000.0
2007-12-20,5675.4,,5710.5,5653.95,5684.15,,290737984.0
2007-12-24,5877.75,,5889.4,5733.95,5733.95,,247556992.0
2007-12-26,5973.1,,5982.65,5890.55,5890.55,,192376000.0
2007-12-27,5970.25,,6006.95,5954.35,5974.4,,307159008.0
2007-12-28,5989.95,,5996.0,5919.25,5967.5,,186648992.0
2007-12-31,6048.2,,6066.1,6010.3,6010.3,,291238016.0
2008-01-01,6064.3,,6081.1,6025.8,6052.45,,0.0
2008-01-02,6113.9,,6129.4,5995.15,6086.25,,259762000.0
2008-01-03,6118.35,,6165.45,6074.25,6092.85,,280751008.0
2008-01-04,6204.75,,6230.45,6139.35,6139.35,,304944000.0
2008-01-07,6205.1,,6214.35,6123.9,6134.65,,319486016.0
2008-01-08,6192.0,,6277.05,6126.1,6239.8,,300471008.0
2008-01-09,6187.25,,6251.1,6138.9,6195.55,,235804992.0
2008-01-10,6056.3,,6258.65,6044.3,6207.1,,238766000.0
2008-01-11,6097.8,,6121.7,6001.3,6063.8,,237448000.0
2008-01-14,6127.6,,6144.9,6089.0,6101.05,,204954000.0
2008-01-15,5998.45,,6178.1,5980.25,6146.6,,228238000.0
2008-01-16,5865.8,,5931.85,5751.8,5931.85,,267984992.0
2008-01-17,5842.7,,5939.65,5814.9,5889.0,,227048992.0
2008-01-18,5613.1,,5828.9,5587.55,5808.7,,238675008.0
2008-01-21,5093.6,,5612.85,4867.45,5612.85,,393180992.0
2008-01-22,4785.25,,4900.6,4336.35,4875.65,,408680000.0
2008-01-23,5099.4,,5220.45,4788.7,4788.7,,343537984.0
2008-01-24,4932.4,,5256.25,4885.9,5170.55,,310923008.0
2008-01-25,5285.0,,5295.1,5018.95,5018.95,,218522000.0
2008-01-28,5193.4,,5208.7,4988.05,5200.4,,187564992.0
2008-01-29,5189.55,,5305.1,5132.75,5211.15,,183246000.0
2008-01-30,5070.75,,5216.0,5047.45,5216.0,,176903008.0
2008-01-31,5037.75,,5149.15,4965.2,5083.65,,343824992.0
2008-02-01,5194.35,,5212.95,4989.8,5077.5,,197911008.0
2008-02-04,5339.8,,5415.65,5265.05,5265.05,,213086000.0
2008-02-05,5360.7,,5378.2,5297.8,5337.85,,212660000.0
2008-02-06,5207.95,,5244.7,5140.8,5209.8,,237716000.0
2008-02-07,5022.25,,5229.8,5007.05,5216.85,,228446000.0
2008-02-08,4994.5,,5059.25,4913.75,5023.9,,207706000.0
2008-02-11,4735.6,,4977.8,4683.85,4977.8,,225956992.0
2008-02-12,4717.05,,4823.35,4702.35,4765.1,,188527008.0
2008-02-13,4795.75,,4854.55,4732.05,4770.3,,209544992.0
2008-02-14,5062.75,,5077.95,4890.35,4896.5,,228892000.0
2008-02-15,5160.6,,5171.65,4974.9,4993.25,,236340000.0
2008-02-18,5141.25,,5204.9,5095.85,5184.45,,158575008.0
2008-02-19,5146.15,,5229.05,5126.85,5154.6,,180322000.0
2008-02-20,5019.2,,5116.6,4982.45,5102.85,,174976000.0
2008-02-21,5053.0,,5108.05,4984.5,5048.25,,177571008.0
2008-02-22,4972.9,,5022.65,4957.8,5022.65,,139286000.0
2008-02-25,5051.7,,5061.65,4914.65,5001.8,,138748000.0
2008-02-26,5121.55,,5132.8,5052.25,5052.25,,152871008.0
2008-02-27,5121.7,,5218.35,5103.9,5152.0,,168900000.0
2008-02-28,5124.75,,5141.2,5073.6,5095.7,,195832000.0
2008-02-29,5072.15,,5113.65,4951.15,5105.2,,272132000.0
2008-03-03,4803.75,,4971.2,4789.1,4971.2,,244248000.0
2008-03-04,4706.7,,4825.2,4647.7,4817.65,,259724000.0
2008-03-05,4746.25,,4760.45,4678.45,4710.75,,201372992.0
2008-03-07,4589.45,,4698.4,4495.1,4698.4,,252196000.0
2008-03-10,4613.15,,4626.0,4434.75,4517.75,,278427008.0
2008-03-11,4696.55,,4716.0,4550.0,4575.0,,257954000.0
2008-03-12,4699.4,,4847.15,4682.2,4778.35,,225114000.0
2008-03-13,4448.15,,4632.0,4407.55,4632.0,,219800992.0
2008-03-14,4565.5,,4579.1,4435.65,4465.5,,210136992.0
2008-03-17,4315.4,,4451.7,4295.25,4451.7,,266038000.0
2008-03-18,4331.95,,4414.6,4285.6,4306.7,,328272992.0
2008-03-19,4362.55,,4514.1,4342.25,4458.2,,285983008.0
2008-03-24,4385.05,,4432.6,4319.65,4379.55,,239851008.0
2008-03-25,4654.45,,4673.85,4472.05,4472.05,,293071008.0
2008-03-26,4620.5,,4690.75,4598.0,4666.0,,256798000.0
2008-03-27,4617.35,,4654.95,4564.0,4577.45,,320660000.0
2008-03-28,4734.55,,4758.6,4588.85,4639.7,,288116000.0
2008-03-31,4537.85,,4697.15,4509.1,4679.0,,265444992.0
2008-04-01,4535.7,,4586.8,4437.35,4544.75,,198607008.0
2008-04-02,4553.7,,4705.3,4542.45,4574.75,,195486000.0
2008-04-03,4567.6,,4622.8,4539.65,4567.15,,205039008.0
2008-04-04,4449.8,,4581.85,4435.6,4563.55,,228538000.0
2008-04-07,4560.5,,4592.25,4442.3,4466.5,,202612992.0
2008-04-08,4517.45,,4567.85,4488.1,4559.1,,199332992.0
2008-04-09,4559.05,,4569.5,4482.1,4513.2,,178247008.0
2008-04-10,4543.45,,4608.1,4532.35,4562.55,,249120992.0
2008-04-11,4583.35,,4618.35,4538.6,4574.55,,199371008.0
2008-04-15,4679.2,,4708.1,4520.15,4565.35,,258776992.0
2008-04-16,4692.75,,4753.6,4680.1,4715.9,,277280000.0
2008-04-17,4769.65,,4791.85,4735.5,4744.5,,278169984.0
2008-04-21,4850.25,,4858.6,4780.3,4780.3,,220167008.0
2008-04-22,4874.95,,4893.2,4815.25,4831.65,,351976000.0
2008-04-23,4848.05,,4906.4,4828.85,4897.9,,365196992.0
2008-04-24,4824.55,,4894.25,4818.9,4866.45,,329184000.0
2008-04-25,4926.95,,4931.65,4841.1,4841.1,,299184000.0
2008-04-28,4911.3,,4961.0,4902.1,4919.85,,247079008.0
2008-04-29,5013.15,,5026.95,4908.65,4912.75,,363676992.0
2008-04-30,4988.0,,5048.65,4978.9,5027.0,,295591008.0
2008-05-02,5054.55,,5072.8,5026.95,5043.65,,302222016.0
2008-05-05,5030.45,,5089.95,5021.6,5060.4,,292879008.0
2008-05-06,4977.15,,5036.7,4944.05,5023.35,,285166016.0
2008-05-07,4962.0,,4990.25,4932.3,4981.95,,268768992.0
2008-05-08,4902.25,,4928.45,4886.6,4928.45,,232612992.0
2008-05-09,4796.55,,4908.85,4782.95,4887.9,,297895008.0
2008-05-12,4820.85,,4829.0,4725.0,4770.15,,293974016.0
2008-05-13,4776.35,,4879.15,4764.1,4829.85,,310751008.0
2008-05-14,4827.65,,4840.35,4753.9,4758.45,,258786000.0
2008-05-15,4925.75,,4928.95,4840.45,4840.45,,262963008.0
2008-05-16,4969.0,,4978.2,4922.05,4951.35,,256167008.0
2008-05-20,4915.45,,4954.6,4884.05,4945.7,,250744000.0
2008-05-21,4926.55,,4942.55,4863.6,4904.45,,288713984.0
2008-05-22,4835.45,,4900.8,4822.25,4900.8,,263812992.0
2008-05-23,4757.4,,4870.0,4751.95,4842.5,,253456000.0
2008-05-26,4675.15,,4733.45,4663.1,4733.45,,209052000.0
2008-05-27,4652.15,,4727.95,4639.2,4717.2,,229408000.0
2008-05-28,4713.6,,4721.65,4630.9,4660.0,,245000992.0
2008-05-29,4639.6,,4751.55,4609.05,4738.55,,389876992.0
2008-05-30,4669.2,,4706.4,4630.65,4670.25,,269956000.0
2008-06-02,4539.25,,4706.05,4514.4,4669.85,,219376992.0
2008-06-03,4516.4,,4524.85,4434.2,4498.0,,263278000.0
2008-06-04,4385.1,,4533.7,4368.55,4522.85,,280216000.0
2008-06-05,4472.65,,4483.9,4335.75,4391.0,,303272000.0
2008-06-06,4424.05,,4535.8,4411.5,4501.0,,235270000.0
2008-06-09,4296.45,,4323.25,4209.2,4315.5,,293383008.0
2008-06-10,4243.9,,4300.95,4170.2,4276.2,,288608000.0
2008-06-11,4316.7,,4331.75,4276.55,4276.55,,286424992.0
2008-06-12,4332.7,,4340.15,4193.55,4236.55,,317507008.0
2008-06-13,4313.5,,4352.45,4289.4,4339.9,,245024000.0
2008-06-16,4365.5,,4409.3,4350.1,4363.95,,202036000.0
2008-06-17,4453.1,,4462.9,4355.4,4372.45,,199192992.0
2008-06-18,4383.05,,4477.15,4372.15,4466.35,,249366000.0
2008-06-19,4303.35,,4346.9,4290.85,4346.9,,176656992.0
2008-06-20,4150.0,,4329.35,4136.65,4325.6,,246546000.0
2008-06-23,4057.95,,4134.6,4022.95,4113.45,,244607008.0
2008-06-24,3988.2,,4097.4,3958.8,4062.6,,252938000.0
2008-06-25,4046.15,,4055.7,3897.45,3939.25,,280792000.0
2008-06-26,4095.55,,4104.75,4028.6,4070.05,,344003008.0
2008-06-27,3926.1,,4009.7,3913.35,4009.7,,288956992.0
2008-06-30,3826.25,,3951.2,3810.5,3925.05,,267636000.0
2008-07-01,3682.25,,3851.8,3667.5,3823.95,,303408992.0
2008-07-02,3873.1,,3887.2,3630.2,3679.3,,412217984.0
2008-07-03,3711.45,,3856.75,3660.1,3856.75,,329296992.0
2008-07-04,3804.95,,3819.25,3682.25,3711.9,,328064992.0
2008-07-07,3828.1,,3905.95,3811.05,3826.35,,284364000.0
2008-07-08,3795.05,,3825.15,3700.9,3755.9,,308855008.0
2008-07-09,3960.25,,3971.45,3862.2,3862.2,,305249984.0
2008-07-10,3963.75,,3987.1,3911.7,3934.95,,284483008.0
2008-07-11,3850.8,,4002.6,3817.55,4000.25,,305047008.0
2008-07-14,3837.85,,3913.1,3810.45,3822.0,,267592992.0
2008-07-15,3669.7,,3785.2,3647.8,3785.2,,251927008.0
2008-07-16,3624.5,,3724.65,3598.5,3676.7,,313132992.0
2008-07-17,3747.45,,3765.35,3685.25,3711.75,,318545984.0
2008-07-18,3882.0,,3897.2,3730.95,3783.65,,327400000.0
2008-07-21,3940.35,,3948.55,3859.55,3913.4,,261276000.0
2008-07-22,4024.05,,4042.75,3938.35,3945.3,,332519008.0
2008-07-23,4260.6,,4275.3,4133.6,4133.6,,503713984.0
2008-07-24,4221.3,,4321.15,4175.35,4309.45,,440319008.0
2008-07-25,4110.7,,4171.8,4095.65,4163.5,,309820992.0
2008-07-28,4130.5,,4150.1,4100.35,4114.7,,221392992.0
2008-07-29,3983.05,,4078.95,3958.55,4069.4,,279776000.0
2008-07-30,4107.1,,4118.2,4032.8,4039.75,,296540000.0
2008-07-31,4123.95,,4131.9,4081.05,4119.55,,368972992.0
2008-08-01,4208.9,,4216.2,4035.2,4079.2,,383870016.0
2008-08-04,4201.5,,4237.35,4169.15,4195.55,,338188992.0
2008-08-05,4311.0,,4321.15,4186.6,4188.0,,394012000.0
2008-08-06,4315.2,,4419.5,4302.25,4388.0,,395808000.0
2008-08-07,4322.2,,4374.3,4294.6,4307.15,,298812992.0
2008-08-08,4328.7,,4342.65,4262.75,4299.9,,262800992.0
2008-08-11,4418.85,,4423.25,4382.4,4382.4,,254991008.0
2008-08-12,4351.25,,4435.45,4325.95,4418.35,,261936992.0
2008-08-13,4326.15,,4370.55,4301.25,4321.15,,233594000.0
2008-08-14,4223.6,,4313.75,4214.8,4313.75,,224220992.0
2008-08-18,4185.1,,4241.65,4172.8,4214.95,,191612992.0
2008-08-19,4160.5,,4177.3,4110.0,4156.55,,189040000.0
2008-08-20,4205.35,,4222.4,4178.5,4184.05,,185988992.0
2008-08-21,4080.4,,4197.25,4068.6,4197.25,,170916992.0
2008-08-22,4121.05,,4128.6,4048.6,4064.8,,193160000.0
2008-08-25,4130.1,,4188.1,4120.8,4158.3,,151984992.0
2008-08-26,4133.55,,4140.45,4081.1,4089.95,,180575008.0
2008-08-27,4090.8,,4158.2,4082.2,4158.1,,163302000.0
2008-08-28,4021.9,,4099.15,4012.65,4091.35,,271051008.0
2008-08-29,4162.7,,4169.4,4068.85,4068.85,,229652000.0
2008-09-01,4151.1,,4165.85,4089.8,4155.5,,163778000.0
