date,open,low,high,close,volume
2013-12-20,770.1,770.1,808.35,801.85,2456400.0
2013-12-21,770.1,770.1,808.35,801.85,2456400.0
2013-12-22,770.1,770.1,808.35,801.85,2456400.0
2013-12-23,801.85,787.15,807.2,789.8,1772374.0
2013-12-24,793.3,778.1,795.05,779.9,1841042.0
2013-12-25,793.3,778.1,795.05,779.9,1841042.0
2013-12-26,779.0,774.1,786.05,779.3,3829349.0
2013-12-27,780.2,775.25,791.6,788.4,1390357.0
2013-12-28,780.2,775.25,791.6,788.4,1390357.0
2013-12-29,780.2,775.25,791.6,788.4,1390357.0
2013-12-30,791.8,786.95,799.4,795.65,1971385.0
2013-12-31,800.25,790.6,801.85,794.65,1330552.0
2014-01-01,798.25,790.6,800.1,793.5,587564.0
2014-01-02,791.6,784.0,809.5,791.1,2538179.0
2014-01-03,791.0,780.0,794.9,791.0,1855802.0
2014-01-04,791.0,780.0,794.9,791.0,1855802.0
2014-01-05,791.0,780.0,794.9,791.0,1855802.0
2014-01-06,790.0,784.35,798.4,795.85,1861785.0
2014-01-07,794.0,788.4,800.6,797.9,2216143.0
2014-01-08,797.9,795.35,805.5,804.3,2659846.0
2014-01-09,803.25,797.4,806.85,802.15,2287549.0
2014-01-10,796.2,796.2,806.25,801.45,3261578.0
2014-01-11,796.2,796.2,806.25,801.45,3261578.0
2014-01-12,796.2,796.2,806.25,801.45,3261578.0
2014-01-13,803.0,800.0,822.0,818.65,2639823.0
2014-01-14,817.1,817.1,826.25,824.35,2018695.0
2014-01-15,824.1,820.65,849.8,846.5,4991438.0
2014-01-16,846.0,845.3,866.5,857.6,4470573.0
2014-01-17,852.0,834.25,861.95,840.05,3708927.0
2014-01-18,852.0,834.25,861.95,840.05,3708927.0
2014-01-19,852.0,834.25,861.95,840.05,3708927.0
2014-01-20,844.4,829.05,845.0,834.8,2884920.0
2014-01-21,838.0,832.2,843.3,838.15,4270055.0
2014-01-22,838.15,830.6,846.1,841.05,2824568.0
2014-01-23,836.2,836.2,859.45,856.15,3523391.0
2014-01-24,849.0,843.5,851.95,844.7,3481450.0
2014-01-25,849.0,843.5,851.95,844.7,3481450.0
2014-01-26,849.0,843.5,851.95,844.7,3481450.0
2014-01-27,835.0,830.95,842.5,833.0,3281902.0
2014-01-28,832.5,826.7,845.0,831.15,3437311.0
2014-01-29,836.0,820.7,839.0,825.15,3226325.0
2014-01-30,811.25,810.3,833.9,829.15,6127036.0
2014-01-31,828.8,804.35,830.45,808.45,5171853.0
2014-02-01,828.8,804.35,830.45,808.45,5171853.0
2014-02-02,828.8,804.35,830.45,808.45,5171853.0
2014-02-03,802.1,785.35,808.65,788.85,3091470.0
2014-02-04,782.0,778.45,796.0,788.15,2792957.0
2014-02-05,787.9,779.0,789.65,784.8,1773469.0
2014-02-06,789.75,772.35,796.3,785.35,2223598.0
2014-02-07,790.8,775.3,793.95,783.45,2360800.0
2014-02-08,790.8,775.3,793.95,783.45,2360800.0
2014-02-09,790.8,775.3,793.95,783.45,2360800.0
2014-02-10,783.25,762.8,785.65,765.4,2554784.0
2014-02-11,764.0,764.0,777.25,774.8,2415467.0
2014-02-12,779.0,773.9,786.65,785.5,2260055.0
2014-02-13,780.25,763.2,784.85,766.05,1859299.0
2014-02-14,763.2,755.0,773.6,770.7,3607903.0
2014-02-15,763.2,755.0,773.6,770.7,3607903.0
2014-02-16,763.2,755.0,773.6,770.7,3607903.0
2014-02-17,767.0,767.0,788.5,779.3,4922666.0
2014-02-18,779.3,779.3,807.5,803.9,2435186.0
2014-02-19,804.1,792.75,808.4,805.8,1513961.0
2014-02-20,799.45,788.95,805.1,791.65,1414959.0
2014-02-21,792.3,791.05,803.75,800.6,928876.0
2014-02-22,792.3,791.05,803.75,800.6,928876.0
2014-02-23,792.3,791.05,803.75,800.6,928876.0
2014-02-24,797.0,788.55,813.2,810.25,768621.0
2014-02-25,815.1,807.15,817.65,811.4,1121054.0
2014-02-26,814.0,810.0,821.75,819.1,2057241.0
2014-02-27,814.0,810.0,821.75,819.1,2057241.0
2014-02-28,812.25,810.55,824.05,819.3,3326028.0
2014-03-01,812.25,810.55,824.05,819.3,3326028.0
2014-03-02,812.25,810.55,824.05,819.3,3326028.0
2014-03-03,815.0,808.9,825.9,812.55,1144895.0
2014-03-04,811.0,811.0,824.6,821.85,1135629.0
