Scrip Code,COMPANY,ISIN No.,Close Price
541233,Lemon Tree Hotels Ltd,INE970X01018,18.3
500253,LIC Housing Finance Ltd,INE115A01026,244.65
523457,Linde India Ltd,INE473A01011,502.8
500257,Lupin Ltd,INE326A01037,881.45
539542,Lux Industries Ltd,INE150G01020,936.05
539957,Mahanagar Gas Ltd,INE002S01010,924.1
500266,Maharashtra Scooters Ltd.,INE288A01013,1921.9
500265,Maharashtra Seamless Ltd,INE271B01025,194.8
532720,Mahindra & Mahindra Financial Services Ltd,INE774D01024,136.55
500520,Mahindra & Mahindra Ltd,INE101A01026,440.05
532756,Mahindra CIE Automotive Ltd,INE536H01010,89.55
533088,Mahindra Holidays & Resorts India Ltd,INE998I01010,162.5
532313,Mahindra Lifespace Developers Ltd,INE813A01018,180
540768,Mahindra Logistics Ltd,INE766P01016,256.15
531213,Manappuram Finance Ltd,INE522D01027,120.1
500109,Mangalore Refinery & Petrochemicals Ltd,INE103A01014,27.85
531642,Marico Ltd,INE196A01026,331.45
532500,Maruti Suzuki India Ltd,INE585B01010,5470.55
540749,MAS Financial Services Ltd,INE348L01012,564.55
500271,Max Financial Services Ltd,INE180A01020,466.1
539981,Max India Ltd,INE153U01017,56.2
532865,Meghmani Organics Ltd,INE974H01013,49.65
542650,Metropolis Healthcare Ltd,INE112L01020,1321.7
538962,Minda Corporation Ltd,INE842C01021,56.9
532539,Minda Industries Ltd,INE405E01023,281.55
532819,MindTree Ltd,INE018I01017,894.95
541195,Mishra Dhatu Nigam Ltd,INE099Z01011,198.05
513377,MMTC LTD,INE123F01029,15.15
533286,MOIL Ltd,INE490G01020,125.2
517334,Motherson Sumi Systems Ltd,INE775A01035,92.45
532892,Motilal Oswal Financial Services Ltd,INE338I01027,515.55
526299,MphasiS Ltd,INE356A01018,845.55
500290,MRF Ltd,INE883A01011,58463.05
534091,Multi Commodity Exchange of India Limited,INE745G01035,1266.15
533398,Muthoot Finance Ltd,INE414G01012,851.95
539551,Narayana Hrudayalaya Ltd,INE410P01011,264.95
524816,Natco Pharma Ltd,INE987B01026,575.2
532234,National Aluminium Co Ltd,INE139A01034,29.4
513023,Nava Bharat Ventures Ltd,INE725A01022,38.15
532504,Navin Fluorine International Ltd.,INE048G01026,1488.1
508989,Navneet Education Ltd,INE060A01024,68.5
534309,NBCC (India) Ltd,INE095N01031,17.2
500294,NCC Ltd/India,INE868B01028,23.5
505355,Nesco Ltd.,INE317F01035,446.1
500790,Nestle India Ltd,INE239A01016,16983.35
